URL,Article,Category,Primary Keyword,Secondary Keywords,Cluster,Status,Total Target SV,GSC Impressions,GSC Clicks,GSC CTR,Avg Position,Opportunity Score,Priority,Notes
https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,,,,,,,,,,,,,,"Phase 5C: 2 real Parent Notes from Graham's own coaching experience (Level 2/UEFA C), kept to confidence/development angle rather than qualification facts per his steer."
https://www.footballparent.co.uk/editorial-policy,,,,,,,,,,,,,,
https://www.footballparent.co.uk/football-development,,,,,,,,,,,,,,
https://www.footballparent.co.uk/football-development/bio-banding-football,What Is Bio-Banding in Football? A Parent's Guide,football-development,bio banding football,,,,,,,,,,,
https://www.footballparent.co.uk/football-development/build-confidence-young-footballers,How To Build Confidence In Young Footballers,football-development,How To Build Confidence In Young Footballers,,,,,,,,,,,"2026-08-08 voice review: genuine unmarked material confirmed, left as flowing prose (already has 1 Parent Note + 1 Expert Opinion from Phase 5B)."
https://www.footballparent.co.uk/football-development/football-burnout,"Football Burnout: Signs, Causes and What Parents Can Do",football-development,Football Burnout,,,,,,,,,,,"2026-08-08: added a 3rd genuine Parent Note from Graham's direct answer (garden drills at 6, keeping it fun as he's got older) alongside the 2 converted legacy blockquotes."
https://www.footballparent.co.uk/football-development/good-football-development-environment,What Makes A Good Football Development Environment?,football-development,What Makes A Good Football Development Environment,,,,,,,,,,,"2026-08-08 voice review: substantial genuine voice throughout, already reads well as prose, deliberately not fragmented into extra tags. 1 legacy blockquote in this file also converted to a proper Parent Note."
https://www.footballparent.co.uk/football-development/how-much-training-is-too-much,How Much Training Is Too Much For Young Footballers?,football-development,How Much Training Is Too Much For Young Footballers,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,How to Become a Professional Footballer: What Parents Should Actually Know,football-development,How to Become a Professional Footballer,,,,,,,,,,,"2026-08-08 voice review: candidates checked, mix of FAQ-heading-merge artifacts and editorial cross-references ('I cover this in [link]') - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/football-development/improve-football-decision-making,How To Improve Football Decision Making In Young Players,football-development,How To Improve Football Decision Making In Young Players,,,,,,,,,,,"2026-08-08 voice review: remaining 2 candidates are a cross-reference and a heading-merge artifact, checked fresh after adding the new Parent Note from Graham's direct answer - nothing further to promote."
https://www.footballparent.co.uk/football-development/is-private-football-coaching-worth-it,Private Football Coaching: Is 1-to-1 Football Coaching Worth It?,football-development,Private Football Coaching,,,,,,,,,,,"2026-08-08 voice review: candidates checked, mix of FAQ-heading-merge artifacts and editorial cross-references ('I cover this in [link]') - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/football-development/late-developers-in-football,Why Some Kids Develop Later In Football,football-development,Why Some Kids Develop Later In Football,,,,,,,,,,,"2026-08-08 voice review: remaining 2 candidates are FAQ-heading-merge artifacts, checked fresh after converting the Football Parent Note section and adding the Modric story - nothing further to promote."
https://www.footballparent.co.uk/football-development/new-fa-youth-football-format,Understanding the New FA Youth Football Format Changes,football-development,Understanding the New FA Youth Football Format Changes,,,,,,,,,,,"Phase 5C: added Paul Barry ExpertOpinion (bigger pitches = fewer touches, 1st use), trimmed uncited in-our-experience line"
https://www.footballparent.co.uk/football-development/playing-up-an-age-group-football,Should My Child Play Up an Age Group in Football?,football-development,Should My Child Play Up an Age Group in Football,,,,,,,,,,,"2026-08-08 voice review: candidates checked, mix of FAQ-heading-merge artifacts and editorial cross-references ('I cover this in [link]') - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/football-development/practise-football-with-your-child-at-home,How to Practise Football With Your Child at Home,football-development,how to practise football with your child at home,football practice at home for kids; helping my child improve at football; backyard football practice; football skills to practise at home,Parent-coach: home practice,planned,0,,,,,,,"Full research brief: seo-data/exports/content-plan-fulham-spurs-drills-coaching.md. Google Ads volume null on every exact phrasing, but real PAA confirms genuine search intent ('How to get better at football as a kid at home?', 'How to practice football at home by yourself?'). Related searches show demand for video content - consider embedding/linking video."
https://www.footballparent.co.uk/football-development/relative-age-effect-football,What Is the Relative Age Effect in Youth Football?,football-development,What Is the Relative Age Effect in Youth Football,,,,,,,,,,,2026-08-08: added a genuine Parent Note from Graham's direct answer (son playing up an age group due to October birthday) - existing confirmed-but-unmarked material left as prose.
https://www.footballparent.co.uk/football-development/signs-your-child-is-ready-for-academy-football,Signs Your Child Is Ready for Academy Football,football-development,Signs Your Child Is Ready for Academy Football,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/football-development/what-is-football-iq,What Is Football IQ? Football Intelligence Explained,football-development,What Is Football IQ? Football Intelligence,,,,,,,,,,,
https://www.footballparent.co.uk/football-development/why-isnt-my-child-improving-at-football,Why Isn't My Child Improving at Football?,football-development,Why Isn't My Child Improving at Football,,,,,,,,,,,"2026-08-08 voice review: 2 of 3 legacy blockquotes converted to Parent Notes (skipped the pace/winger one - generic, not personal). This additional genuine sentence pair left as prose."
https://www.footballparent.co.uk/football-gear,,,,,,,,,,,,,,
https://www.footballparent.co.uk/football-gear/ag-vs-fg-boots,FG vs AG Football Boots for Kids: A Practical Parent's Guide,football-gear,FG vs AG Football Boots for Kids,,,,,,,,,,,"Phase 5C: added citation for boot/turf injury risk claim (article had zero external citations). Voice deferred, gear topic."
https://www.footballparent.co.uk/football-gear/best-football-boots-for-kids,Best Football Boots for Kids (2026 Buying Guide),football-gear,best football boots for kids,kids football boots; junior football boots; best kids football,Football gear: boots,published,,,,,,,High,"Updated 2026-09-13: full football-parent-review 12-section pass completed. Both external citations (FA Law 4, Royal College of Podiatry) live-fetched and verified accurate; fixed one minor overclaim where the RCPod paraphrase added 'more often during a growth spurt' not stated in the source (now matches the actual 8-week-under-4/3-month-4-plus intervals plus the source's real check-triggers). Fixed a clunky MG sentence, cut a templated 'that's a useful X' restatement, added in-body links to best-footballs-by-age and the shin pads article (topical cluster). Also fixed real navigation gaps found when asked: article was missing from app/football-gear/page.tsx (startHere + articles list) - added to both; and no sibling article linked TO this new hub - added inbound links from ag-vs-fg-boots.mdx and best-shin-pads-for-kids-football.mdx Related Articles, plus an in-body link from best-football-boots-for-wide-feet-kids.mdx (already at its 4-link Related Articles cap). Review score: Quality 7.5/10, Risk 2/10. Callout minimum met (3 genuine ParentNotes). Citation density 0.9/1000 words, under the 2/1000 target but justified per the sourcing-density carve-out for primarily practical/experiential content. npm run build passes on all touched pages."
https://www.footballparent.co.uk/football-gear/best-football-gloves-for-winter-training,Best Football Gloves For Winter Training,football-gear,Best Football Gloves For Winter Training,,,,,,,,,,,"Phase 5C: added citation for cold-hands/dexterity claim (article had zero external citations). Voice deferred, gear topic."
https://www.footballparent.co.uk/football-gear/best-football-goals-for-kids,Best Football Goals for Kids (Garden Goals Buying Guide),football-gear,kids football goals,football goals for garden; pop up football goals; forza football goals,Football gear: garden goals,planned,,,,,,,High,"Google Trends research 2026-09-12/13: 'kids football goals' has two peaks - Nov-Dec (Christmas gift, 75-86/100) and Jun-Aug (summer garden play, 77-83/100) - currently past this year's summer peak and in the seasonal trough before the Christmas one (weekly data peaked 22 Aug at 100, down to 51 by 12 Sep - matches the same Sep dip seen in 2025 before the Nov rise, so this is NOT currently trending up despite looking that way from a same-day glance). Related-queries panel: genuine top co-searches are 'pop up football goals' (a real product-type distinction to cover explicitly) and 'forza football goals' (the recurring brand name people search alongside this term) - both worth naming in the article. Also surfaced 'goals football party' - a kids'-party gift angle worth a line. No page currently covers this at all - real gap. Must be live by early-mid Oct to have indexing lead time before the Nov peak. No Google Ads volume checked yet."
https://www.footballparent.co.uk/football-gear/best-football-training-cones-for-kids,Best Football Training Cones for Kids,football-gear,football training cones,cones for football training; agility cones,Football gear: training kit,planned,,,,,,,Low,"FUTURE / not urgent. Google Trends research 2026-09-12: 'football cones' stays fairly flat/present all year (57-86/100) with a gentle Jun-Jul pre-season-training bump, rather than a sharp seasonal spike - real but modest and un-timed demand. Related-queries confirms clean intent ('football cones', 'football training cones', no contamination) but 'cones for training'/'agility cones' individually are too low-volume for a related-queries panel. Not worth a rushed dedicated page now; revisit if training-kit content becomes a priority, or fold a short buying section into an existing coaching/training-kit article in the meantime rather than spinning up a standalone page for thin, non-seasonal volume."
https://www.footballparent.co.uk/football-gear/best-footballs-by-age,Football Sizes by Age: Best Footballs For Kids,football-gear,Football Sizes by Age,,,,,,,,,,,"2026-08-08 voice review: substantial genuine coaching-experience material, reads well as prose, left in place."
https://www.footballparent.co.uk/football-gear/boots/best-football-boots-for-wide-feet-kids,,,,,,,,,,,,,,"2026-08-08 voice review: both candidates are FAQ-heading-merge artifacts ('Which do I fit?', 'What do I do?') - no genuine voice found. Already deferred on new material (confirmed with Graham: none available for gear articles)."
https://www.footballparent.co.uk/football-gear/christmas-football-gifts-for-kids,Christmas Football Gifts for Kids: Stocking Fillers to Big-Ticket Ideas,football-gear,football gifts for kids,football gifts; christmas football gifts,Football gear: Christmas gifts,planned,,,,,,,High,"Google Trends research 2026-09-12: 'football gifts' peaks in November (67.4/100) and decays through December - narrow, time-boxed window. No dedicated gift-guide article exists. Must publish by early-mid Oct to get 3-4 weeks of full-strength ranking before the window closes; push via newsletter/social once live, this is the shortest seasonal window of the year so organic alone may not be enough. No Google Ads volume checked yet (both secondary terms too low-volume for Trends to report a related-queries panel)."
https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,,,,,,,,,,,,,,"Phase 5B: no personal material available (confirmed with Graham), voice deferred. Added IFAB Law 4 shin-guard citation for the mandatory-equipment claim."
https://www.footballparent.co.uk/football-gear/soft-ground-vs-firm-ground-football-boots,Soft Ground vs Firm Ground Football Boots for Kids,football-gear,soft ground football boots,firm ground football boots; best soft ground football boots; best firm ground football boots,Football gear: boots,planned,,,,,,,High,"Google Trends research 2026-09-12: FG boots peak Aug-Sep (74/100), SG boots peak in NOVEMBER (49.2) not February as originally assumed - troughs Feb/summer instead. No related-queries panel available for either term (too low volume for Trends to report one), so this reads as genuinely long-tail. Needs to be live by early-mid Oct to catch the Nov SG peak (indexing lead time). DECISION NEEDED before writing: standalone new page (this URL) vs. adding an SG section to the existing ag-vs-fg-boots.mdx and retitling it AG/FG/SG - the latter avoids cannibalising that page's soleplate-comparison intent. Lean toward extending the existing article unless scoping shows the SG angle needs its own page. No Google Ads volume checked yet."
https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,Veo Camera Alternatives: Cost & Comparisons,football-gear,Veo Camera Alternatives,,,,,,,,,,,"12 Sept: scoped fact/slop check of the new 'Is Trace better than Veo?' FAQ addition only (not a full article re-review) - clean, no changes needed"
https://www.footballparent.co.uk/girls-football,,,,,,,,,,,,,,
https://www.footballparent.co.uk/girls-football/emerging-talent-centres-explained,Emerging Talent Centres (ETCs) Explained,girls-football,Emerging Talent Centres (ETCs),,,,,,,,,,,"2026-08-08 voice review: remaining 2 candidates are factual RTC/ETC statements with a heading-merge artifact, not personal voice. Graham confirmed he has no direct ETC experience to add - deferred, not padded."
https://www.footballparent.co.uk/girls-football/girls-academy-vs-grassroots-football,Girls Academy Football vs Grassroots Football,girls-football,Girls Academy Football vs Grassroots Football,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/girls-football/girls-football-trials,How Girls Football Trials Work,girls-football,How Girls Football Trials Work,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/girls-football/girls-rtcs-explained,Girls RTCs Explained: What They Were and What Replaced Them,girls-football,Girls RTCs,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/girls-football/how-girls-football-academies-work,How Girls Football Academies Work In The UK,girls-football,How Girls Football Academies Work In The UK,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/girls-football/late-developers-in-girls-football,Late Developers In Girls Football,girls-football,Late Developers In Girls Football,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/girls-football/what-age-do-girls-football-academies-recruit,What Age Do Girls Football Academies Recruit?,girls-football,What Age Do Girls Football Academies Recruit,,,,,,,,,,,"2026-08-08 voice review: candidates checked, all are the sentence-splitter merging an FAQ H3 question heading into the preceding sentence (a bug in the unmarked-voice scanner, not real content) - no genuine voice found, nothing to promote."
https://www.footballparent.co.uk/parent-guides,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/are-football-development-centres-worth-it,Are Football Development Centres Worth It?,parent-guides,Are Football Development Centres Worth It,,,,,,,,,,,"2026-08-08 voice review: highest real-voice article on the site, well above the 10% target. Confirms the Phase 5A exception decision (no callout extraction) was correct."
https://www.footballparent.co.uk/parent-guides/biggest-football-parent-mistakes,Biggest Football Parent Mistakes?,parent-guides,Biggest Football Parent Mistakes,,,,,,,,,,,"2026-08-08 voice review: this article is the clearest case of the tag-metric understating real voice - extensive genuine first-person material throughout, already reviewed in Phase 5B as the documented exception. Left entirely as prose; already has 1 Expert Opinion tag (Paul Barry)."
https://www.footballparent.co.uk/parent-guides/futurefit-football-dna-interview-part-1,"FutureFit Explained: Football DNA on 3v3, More Touches and Youth Development",parent-guides,FutureFit,,,,,,,,,,,"2026-08-08 voice review: candidates are Paul Barry's own first-person answers within the interview itself - this page already IS the full interview, so there's nothing to extract into a Parent Note; other articles' Expert Opinion quotes are sourced from here. No action needed."
https://www.footballparent.co.uk/parent-guides/futurefit-football-dna-interview-part-2,FutureFit Part 2: Why 3v3 Matters and 11v11 Is Being Delayed,parent-guides,FutureFit Part 2,,,,,,,,,,,"2026-08-08 voice review: same as Part 1 - all 10 candidates are Paul Barry's own interview answers, not extractable Graham voice. No action needed."
https://www.footballparent.co.uk/parent-guides/how-to-become-a-football-coach,How to Become a Football Coach: A Parent's Guide,parent-guides,How to Become a Football Coach,,,,,,,,,,,"2026-08-08 voice review: remaining 3 candidates are a cross-reference, generic qualifications text and a heading-merge artifact, checked fresh after adding the new Parent Note from Graham's direct answer - nothing further to promote."
https://www.footballparent.co.uk/parent-guides/how-to-get-into-the-jpl,JPL Trials: How Do You Get Into the Junior Premier League?,parent-guides,JPL Trials,,,,,,,,,,,"Martin Brock Part 2 quote (quote 14, not just for future stars) added as new Misconception 5 under Common misconceptions about joining"
https://www.footballparent.co.uk/parent-guides/jpl-and-academy-football,Does the Junior Premier League Lead to Academy Football?,parent-guides,Does the Junior Premier League Lead to Academy Football,,,,,,,,,,,"Martin Brock Part 2 quote (scouts/academies, quote 13) added in Exposure vs selection section, closing the 2026-08-08 logged gap"
https://www.footballparent.co.uk/parent-guides/jpl-martin-brock-interview-part-1,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/jpl-martin-brock-interview-part-2,,,,,,,,,,,,,,"Part 2 of Martin Brock (JPL CEO) interview, primary-source real Q&A supplied directly by the user, not third-party research claims"
https://www.footballparent.co.uk/parent-guides/jpl-vs-grassroots-football,JPL vs Grassroots Football: Which Is Right for Your Child?,parent-guides,JPL vs Grassroots Football,,,,,,,,,,,"Two Martin Brock Part 2 quotes added: quote 12 (game-time rule) in Playing time, quote 15 (grassroots+JPL overlap) in Which children suit each pathway; also tightened the Playing time section's vague 50% claim to the correct tiered 66%/50% figures"
https://www.footballparent.co.uk/parent-guides/leave-grassroots-football-for-an-academy,Should My Child Leave Grassroots Football For An Academy?,parent-guides,Should My Child Leave Grassroots Football For An Academy,,,,,,,,,,,2026-08-08 voice review: 2 of 3 legacy blockquotes converted to Parent Notes (skipped the generic 'It is easy to focus entirely on coaching level' one). This additional genuine material left as prose.
https://www.footballparent.co.uk/parent-guides/support-child-after-bad-match,When Your Child Is Struggling in Football | Football Parent,parent-guides,When Your Child Is Struggling in Football,,,,,,,,,,,2026-08-08 voice review: 1 legacy blockquote converted to Parent Note. This additional genuine material left as prose.
https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,What Is Grassroots Football?,parent-guides,What Is Grassroots Football,,,,,,,,,,,"2026-08-08 voice review: substantial genuine voice throughout, reads well as prose, left in place."
https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football#how-grassroots-football-differs-from-academy-football,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football#what-ages-are-classed-as-grassroots-football,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football#what-is-grassroots-football-grassroots-football-meaning,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football#what-level-of-commitment-should-parents-expect,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football#who-runs-grassroots-football,,,,,,,,,,,,,,
https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,What Is the Junior Premier League (JPL)?,parent-guides,What Is the Junior Premier League (JPL),,,,,,,,,,,"Martin Brock (JPL CEO) Expert Opinion added in Standard of football section, from jpl-martin-brock-interview-part-1 (2026-08-16)"
https://www.footballparent.co.uk/parent-guides/what-to-say-after-football-matches,What Should Parents Say After Football Matches?,parent-guides,What Should Parents Say After Football Matches,,,,,,,,,,,"2026-08-08 voice review: extensive genuine voice already above the 10% target when combined - left entirely as prose, no extraction needed. 1 legacy blockquote in this file left as-is (generic advice, no personal specificity)."
